country,year,tonnes,type,mineral,fobvalue,trade_concentration_index,stability_index,political_risk_index,stability_scaled,trade_scaled,risk_scaled,risk_score
Mexico,2023,480000.0,refinery,copper,6657274254.0,0.05631491564588508,22.748815536499,-21.748815536499,0.23456791028219146,0.05631491564588508,0.7654320897178086,0.5526969374962315
Peru,2023,400000.0,refinery,copper,23384639542.77,0.19804871200796742,24.1706161499023,-23.1706161499023,0.2530864247752839,0.19804871200796742,0.7469135752247162,0.5822541162596915
Poland,2023,590000.0,refinery,copper,5315639913.0,0.044947020870051375,63.9810409545898,-62.9810409545898,0.7716049299523916,0.044947020870051375,0.2283950700476085,0.1733606552943413
South Korea,2023,620000.0,refinery,copper,12191085703.0,0.10320383637420136,68.2464447021484,-67.2464447021484,0.8271604982742976,0.10320383637420136,0.17283950172570262,0.15194880212025214
United States,2023,890000.0,refinery,copper,14992887244.0,0.12694397489593642,47.3933639526367,-46.3933639526367,0.5555555527952637,0.12694397489593642,0.4444444472047364,0.3491943055120964
Zambia,2023,380000.0,refinery,copper,6787100951.754,0.05741495922263297,52.1327018737793,-51.1327018737793,0.6172839675624101,0.05741495922263297,0.3827160324375901,0.28512571047310287
Austria,2023,500.0,mine,graphite,1657478265.7150002,0.013950798271627013,71.5639801025391,-70.5639801025391,0.8703703737057243,0.013950798271627013,0.12962962629427588,0.09492597788748114
Brazil,2023,73000.0,mine,graphite,711321582.0,0.005933852600791733,28.4360198974609,-27.4360198974609,0.3086419930971899,0.005933852600791733,0.6913580069028102,0.48573076061220466
Canada,2023,3500.0,mine,graphite,1838889513.0619998,0.015487926465182572,76.3033142089844,-75.3033142089844,0.9320987387876148,0.015487926465182572,0.06790126121238538,0.05217726078822445
China,2023,1230000.0,mine,graphite,72532040909.0,0.6144829595247194,25.1184825897217,-24.1184825897217,0.26543209282313734,0.6144829595247194,0.7345679071768627,0.6985424228812197
Germany,2023,150.0,mine,graphite,33513068923.729,0.2838686078831614,66.3507080078125,-65.3507080078125,0.8024691124933375,0.2838686078831614,0.1975308875066626,0.2234322036196122
India,2023,11500.0,mine,graphite,3485028798.914,0.02943594316098626,21.3270149230957,-20.3270149230957,0.21604939578909896,0.02943594316098626,0.7839506042109012,0.5575962058959267
Madagascar,2023,100000.0,mine,graphite,38135131.375,0.0002298299014935399,19.9052124023438,-18.9052124023438,0.19753085645337923,0.0002298299014935399,0.8024691435466209,0.5617973494530827
Mexico,2023,2000.0,mine,graphite,4897719021.0,0.04140590643991727,22.748815536499,-21.748815536499,0.23456791028219146,0.04140590643991727,0.7654320897178086,0.5482242347344412
Mozambique,2023,96000.0,mine,graphite,43108000.0,0.00027196585876257406,11.8483409881592,-10.8483409881592,0.09259259109743481,0.00027196585876257406,0.9074074089025653,0.6352667759894244
Norway,2023,7200.0,mine,graphite,1101753999.4329998,0.00924205253486954,77.7251205444336,-76.7251205444336,0.9506173278085902,0.00924205253486954,0.049382672191409904,0.03734048629444775
South Korea,2023,27000.0,mine,graphite,16479234655.0,0.13953804799933267,68.2464447021484,-67.2464447021484,0.8271604982742976,0.13953804799933267,0.17283950172570262,0.16284906560779155
Sri Lanka,2023,2200.0,mine,graphite,14668131.056,3.099003717402033e-05,25.5924167633057,-24.5924167633057,0.2716049392683777,3.099003717402033e-05,0.7283950607316224,0.5098858395232879
Tanzania,2023,6000.0,mine,graphite,11389378.450000001,3.2086115784164636e-06,44.0758285522461,-43.0758285522461,0.5123456773638384,3.2086115784164636e-06,0.4876543226361617,0.34135898842878665
Türkiye,2023,2000.0,mine,graphite,1391097668.0,0.011693710395588657,13.7440757751465,-12.7440757751465,0.11728395203576766,0.011693710395588657,0.8827160479642324,0.6214093466936392
Ukraine,2023,2000.0,mine,graphite,325160028.09000003,0.0026618404159744436,10.9004735946655,-9.9004735946655,0.08024691062826775,0.0026618404159744436,0.9197530893717324,0.644625714685005
United States,2023,0.0,mine,graphite,23037728648.0,0.19510927729925517,47.3933639526367,-46.3933639526367,0.5555555527952637,0.19510927729925517,0.4444444472047364,0.369643896233092
Vietnam,2023,500.0,mine,graphite,4534933567.499001,0.03833196390910181,45.0236968994141,-44.0236968994141,0.5246913702543191,0.03833196390910181,0.475308629745681,0.34421562999470723
Argentina,2023,9600.0,mine,lithium,975887604.8599999,0.008175565277057593,41.7061614990234,-40.7061614990234,0.48148149482289254,0.008175565277057593,0.5185185051771076,0.36541562320709253
Australia,2023,86000.0,mine,lithium,14676568373.117,0.1242637515817894,79.620849609375,-78.620849609375,0.97530861421904,0.1242637515817894,0.024691385780960085,0.05456309552120883
Brazil,2023,4900.0,mine,lithium,1969506509.0,0.016594666372161955,28.4360198974609,-27.4360198974609,0.3086419930971899,0.016594666372161955,0.6913580069028102,0.4889290047436157
Canada,2023,3400.0,mine,lithium,2799377209.1879997,0.023626301228983664,76.3033142089844,-75.3033142089844,0.9320987387876148,0.023626301228983664,0.06790126121238538,0.054618773217364774
Chile,2023,44000.0,mine,lithium,6752378826.117,0.05712075277712675,50.2369651794434,-49.2369651794434,0.59259258178145,0.05712075277712675,0.4074074182185501,0.30232141858612305
China,2023,33000.0,mine,lithium,118030606012.0,1.0,25.1184825897217,-24.1184825897217,0.26543209282313734,1.0,0.7345679071768627,0.8141975350238039
Portugal,2023,380.0,mine,lithium,387777468.259,0.0031924085813977332,70.6161117553711,-69.6161117553711,0.8580246808152434,0.0031924085813977332,0.1419753191847567,0.10034044600374897
Zimbabwe,2023,3400.0,mine,lithium,932774847.61,0.00781026359019949,15.1658763885498,-14.1658763885498,0.13580246652886013,0.00781026359019949,0.86419753347114,0.6072813525068578
Australia,2023,160000.0,mine,nickel,2044926950.449,0.0172337165336986,79.620849609375,-78.620849609375,0.97530861421904,0.0172337165336986,0.024691385780960085,0.022454085006781595
Brazil,2023,89000.0,mine,nickel,1004081728.0,0.008414458852868663,28.4360198974609,-27.4360198974609,0.3086419930971899,0.008414458852868663,0.6913580069028102,0.4864749424878277
Canada,2023,180000.0,mine,nickel,6356910459.773999,0.05376988239585191,76.3033142089844,-75.3033142089844,0.9320987387876148,0.05376988239585191,0.06790126121238538,0.06366184756742525
China,2023,110000.0,mine,nickel,83127741621.0,0.7042621244501365,25.1184825897217,-24.1184825897217,0.26543209282313734,0.7042621244501365,0.7345679071768627,0.7254761723588448
Indonesia,2023,1800000.0,mine,nickel,7289132843.622,0.06166876038623046,28.9099521636963,-27.9099521636963,0.314814814699803,0.06166876038623046,0.6851851853001971,0.49813025782600706
